===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
44,TSLA,44,2018-03-06 23:59:59.999989,333.75,336.37,327.03,328.2,4285700.0,0.0,328.200012,TestStrategy,44,736759.9999999999,Broker,44,1000.0,1000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,TSLA,45,2018-03-07 23:59:59.999989,325.44,332.5,321.74,332.3,5007300.0,0.0,332.299988,TestStrategy,45,736760.9999999999,Broker,45,1000.0,1000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,TSLA,46,2018-03-08 23:59:59.999989,332.86,333.3,326.27,329.1,3566200.0,0.0,329.100006,TestStrategy,46,736761.9999999999,Broker,46,1000.0,1000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,TSLA,47,2018-03-09 23:59:59.999989,324.1,328.49,322.37,327.17,5506800.0,0.0,327.170013,TestStrategy,47,736762.9999999999,Broker,47,1000.0,1000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,TSLA,48,2018-03-12 23:59:59.999989,328.61,347.21,326.5,345.51,8264000.0,0.0,345.51001,TestStrategy,48,736765.9999999999,Broker,48,1000.0,1000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,TSLA,49,2018-03-13 23:59:59.999989,328.61,347.21,326.5,341.84,5965800.0,0.0,341.839996,TestStrategy,49,736766.9999999999,Broker,49,1000.0,1000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,TSLA,50,2018-03-14 23:59:59.999989,336.76,339.81,323.93,326.63,7967400.0,0.0,326.630005,TestStrategy,50,736767.9999999999,Broker,50,1000.0,1000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,TSLA,51,2018-03-15 23:59:59.999989,329.38,332.85,321.1,325.6,6564800.0,0.0,325.600006,TestStrategy,51,736768.9999999999,Broker,51,1000.0,1000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,TSLA,52,2018-03-16 23:59:59.999989,322.93,327.4,319.07,321.35,6117300.0,0.0,321.350006,TestStrategy,52,736769.9999999999,Broker,52,1000.0,1000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,TSLA,53,2018-03-19 23:59:59.999989,316.5,320.75,309.67,313.56,7484300.0,0.0,313.559998,TestStrategy,53,736772.9999999999,Broker,53,1000.0,1000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,TSLA,54,2018-03-20 23:59:59.999989,314.87,316.25,308.76,310.55,4764300.0,0.0,310.549988,TestStrategy,54,736773.9999999999,Broker,54,1000.0,1000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,TSLA,55,2018-03-21 23:59:59.999989,310.25,322.44,310.19,316.53,5958400.0,0.0,316.529999,TestStrategy,55,736774.9999999999,Broker,55,1000.0,1000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,TSLA,56,2018-03-22 23:59:59.999989,313.89,318.82,308.18,309.1,4939800.0,0.0,309.100006,TestStrategy,56,736775.9999999999,Broker,56,1000.0,1000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,TSLA,57,2018-03-23 23:59:59.999989,311.25,311.25,300.45,301.54,6654900.0,0.0,301.540009,TestStrategy,57,736776.9999999999,Broker,57,1000.0,1000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,TSLA,58,2018-03-26 23:59:59.999989,307.34,307.59,291.36,304.18,8375200.0,0.0,304.179993,TestStrategy,58,736779.9999999999,Broker,58,1000.0,1000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,TSLA,59,2018-03-27 23:59:59.999989,304.0,304.27,277.18,279.18,13872000.0,0.0,279.179993,TestStrategy,59,736780.9999999999,Broker,59,1000.0,1000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,TSLA,60,2018-03-28 23:59:59.999989,264.58,268.68,252.1,257.78,21001400.0,0.0,257.779999,TestStrategy,60,736781.9999999999,Broker,60,1000.0,1000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,TSLA,61,2018-03-29 23:59:59.999989,256.49,270.96,248.21,266.13,15170700.0,0.0,266.130005,TestStrategy,61,736782.9999999999,Broker,61,1000.0,1000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,TSLA,62,2018-04-02 23:59:59.999989,256.26,260.33,244.59,252.48,16114000.0,0.0,252.479996,TestStrategy,62,736786.9999999999,Broker,62,1000.0,1000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,TSLA,63,2018-04-03 23:59:59.999989,269.82,273.35,254.49,267.53,18844400.0,0.0,267.529999,TestStrategy,63,736787.9999999999,Broker,63,1000.0,1000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,TSLA,64,2018-04-04 23:59:59.999989,252.78,288.37,252.0,286.94,19896700.0,0.0,286.940002,TestStrategy,64,736788.9999999999,Broker,64,1000.0,1000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
