===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,cruceSMA_,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
56,,56,2020-03-20 00:00:00,61.79499816894531,62.95750045776367,57.0,57.310001373291016,401693200.0,,cruceSMA_,56,737504.0,Broker,56,343.26499938964844,228.6449966430664,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2020-03-23 00:00:00,57.02000045776367,57.125,53.15250015258789,56.092498779296875,336752800.0,,cruceSMA_,57,737507.0,Broker,57,343.26499938964844,231.0800018310547,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2020-03-24 00:00:00,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,287531200.0,,cruceSMA_,58,737508.0,Broker,58,343.26499938964844,219.8249969482422,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2020-03-25 00:00:00,62.6875,64.5625,61.07500076293945,61.380001068115234,303602000.0,,cruceSMA_,59,737509.0,Broker,59,343.26499938964844,220.50499725341797,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2020-03-26 00:00:00,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,252087200.0,,cruceSMA_,60,737510.0,Broker,60,343.26499938964844,214.0449981689453,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2020-03-27 00:00:00,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,204216800.0,,cruceSMA_,61,737511.0,Broker,61,343.26499938964844,219.3949966430664,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2020-03-30 00:00:00,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,167976400.0,,cruceSMA_,62,737514.0,Broker,62,343.26499938964844,215.86000061035156,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2020-03-31 00:00:00,63.900001525878906,65.62249755859375,63.0,63.5724983215332,197002000.0,,cruceSMA_,63,737515.0,Broker,63,343.26499938964844,216.12000274658203,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2020-04-01 00:00:00,61.625,62.18000030517578,59.782501220703125,60.227500915527344,176218400.0,,cruceSMA_,64,737516.0,Broker,64,343.26499938964844,222.80999755859375,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2020-04-02 00:00:00,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,165934000.0,,cruceSMA_,65,737517.0,Broker,65,343.26499938964844,220.8000030517578,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2020-04-03 00:00:00,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,129880000.0,,cruceSMA_,66,737518.0,Broker,66,343.26499938964844,222.55999755859375,BuySell,66,,,Trades - Net Profit/Loss,66,,
